"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
68165.5258361031,5.74551713692008,0.402707915111742,14.2672068795217,3.50331400150337e-46,1.93382932882986e-42,"ampC"
6795.71559414513,-2.46365422811049,0.205216408078168,-12.0051522740427,3.33848858421202e-33,9.21422849242518e-30,"PA0638"
4086.99892324243,-2.55419534414548,0.21387836696254,-11.9422799997011,7.12431086547293e-33,1.31087319924702e-29,"PA0629"
6886.85463218883,-2.5346184731228,0.216328544314289,-11.7165234997394,1.04888588742867e-31,1.44746252465156e-28,"PA0628"
69322.8585685644,1.32074077674376,0.115474081556757,11.4375516907194,2.71437513627015e-30,2.99667015044224e-27,"magD"
38093.5243036466,-2.55322991928529,0.23468075490942,-10.8795879758899,1.44213338118081e-27,1.32676271068635e-24,"PA0641"
1985.49748611566,-2.5638351455181,0.239086676145428,-10.7234547188176,7.89964189955157e-27,6.22943189793209e-24,"PA0627"
6811.25401686798,-2.22205059889571,0.212122380864656,-10.4753236779549,1.12153277414374e-25,7.73857614159181e-23,"PA0616"
11526.8342596389,3.14168729278076,0.301589908034293,10.4170836260991,2.07209712175395e-25,1.27088623467576e-22,"PA4111"
2656.97378379397,-1.98452661043616,0.19197103663479,-10.3376355372377,4.7614037114664e-25,2.62829484872945e-22,"PA0614"
6701.1444522263,-2.28622070297812,0.221520228275049,-10.3205956439312,5.68692498377655e-25,2.85380235549514e-22,"PA0639"
4449.05479118015,-2.41587231223282,0.247085745893626,-9.77746532279886,1.40689670606642e-22,6.47172484790555e-20,"PA0635"
14221.176770525,-2.44446882517831,0.251410370517847,-9.72302304055028,2.4053222253497e-22,1.0213368218408e-19,"PA0636"
2599.15700952015,-2.23149953467586,0.232866338783628,-9.58274839692181,9.44962168546379e-22,3.72585083598287e-19,"PA0637"
19903.2972122318,-2.21392455305837,0.232687643672375,-9.51457721655207,1.82453279322143e-21,6.71428067905485e-19,"PA0625"
5346.33558653113,-2.06340941787489,0.217376674562315,-9.49232212715341,2.25943925213534e-21,7.79506541986691e-19,"PA0619"
1474.69828648674,-2.31101635864708,0.243858125383297,-9.47688888780973,2.61977313334773e-21,8.50655746828204e-19,"PA0630"
1733.38783786301,-2.19531750426013,0.237190703764647,-9.25549555449036,2.1323893018385e-20,6.53932719230474e-18,"PA0631"
46515.8083801163,1.41766692794752,0.153335415725876,9.24552831605418,2.34081416025708e-20,6.80068113927319e-18,"PA1069"
108443.75257242,2.2995853014562,0.25286100594743,9.09426620700182,9.52273191236233e-20,2.628274007812e-17,"hcp1"
5135.60517015673,-2.06955583854672,0.228422312864878,-9.06021750935932,1.30190682094896e-19,3.42215507220869e-17,"PA0640"
10298.9269047967,1.18748397706991,0.133204457145589,8.91474656716644,4.88933213802663e-19,1.17343971312639e-16,"PA3021"
3031.40779137287,-0.954171391505196,0.107011878367294,-8.91649979481921,4.81257659727318e-19,1.17343971312639e-16,"PA4326"
4522.99200545496,-2.27232074746405,0.256837264912713,-8.84731718442922,8.96483245408797e-19,2.06191146444023e-16,"PA0634"
4326.54691609209,1.15609067976594,0.132547902857774,8.72205938261009,2.73186981367593e-18,6.03196854859645e-16,"tsi2"
6695.81103363339,-2.14307696607867,0.246648930710456,-8.68877460731606,3.66369708876492e-18,7.77831074230091e-16,"PA0618"
4714.09513879014,-2.18789182065248,0.252172806883548,-8.67616079501719,4.09353283203415e-18,8.36900045660316e-16,"PA0613"
12010.3871022719,1.11996141027682,0.129397140659685,8.65522533625621,4.91938782933021e-18,9.69822172067956e-16,"magF"
7054.75617527182,-2.01924508412562,0.233428943370972,-8.65036295399143,5.13358957939008e-18,9.77152223387354e-16,"PA0626"
23103.5980569359,-0.915597562156403,0.108795618121719,-8.41575771123471,3.90363396467027e-17,7.18268649499329e-15,"PA4633"
9764.78778824835,1.00529976330056,0.119649039283898,8.40207133561038,4.38671207858728e-17,7.81117763671025e-15,"PA2536"
5302.19348494768,-2.20404739907645,0.263555649933348,-8.36274008784801,6.12781140767369e-17,1.05704746782371e-14,"ptrB"
10653.7026937589,-1.88813439626343,0.230040654563773,-8.20782917629887,2.2522333108583e-16,3.76737208361753e-14,"PA0643"
2998.71427213296,-1.8189034956677,0.222511769322876,-8.17441477905996,2.97305380626917e-16,4.82684029723701e-14,"PA0617"
2379.76988669232,1.39474373479572,0.174389104337474,7.99788346923696,1.26576076066148e-15,1.99628554252896e-13,"tsi1"
35848.9655661059,0.736321290895254,0.0926663145784816,7.94594340181344,1.92718407107425e-15,2.95501557564718e-13,"murD"
4879.64382278274,-1.6325425942629,0.20703009042878,-7.8855329236525,3.13195998476796e-15,4.67254570700518e-13,"PA5469"
3359.2401262548,-1.8811703898123,0.239004182068749,-7.87086808912485,3.5218883260186e-15,5.1160061999007e-13,"PA0615"
14357.6725786468,2.01027771335844,0.256654336982765,7.83262709288809,4.77779821909668e-15,6.76242209472146e-13,"PA0126"
16631.9231663695,-1.5512637364835,0.200336768641885,-7.74328021261281,9.68841957756971e-15,1.33700190170462e-12,"PA0620"
10717.7588472157,-1.69923697326318,0.219645867581425,-7.73625742188501,1.02386054066266e-14,1.37846589864826e-12,"PA0633"
46823.2330856641,0.949178220938887,0.125582299112967,7.55821662482115,4.08633101901537e-14,5.37060648213448e-12,"ftsA"
13124.4081151773,-2.3535030065513,0.314045434701516,-7.49414812792352,6.67303293129804e-14,8.56631204203842e-12,"gfnR"
3609.67639613846,-1.91838345099738,0.257467855241641,-7.45096295301375,9.26613823293463e-14,1.1624791601318e-11,"PA0624"
7481.66799217551,-0.783118363005559,0.10544669831996,-7.42667504514294,1.11361493417244e-13,1.36603431925152e-11,"pctB"
15681.7135705774,-1.39025834166153,0.190931978136101,-7.28143266116756,3.30293511095086e-13,3.96352213314104e-11,"PA0622"
33039.5037893432,0.691260540984873,0.095237945637151,7.25824708166764,3.92138772810568e-13,4.60554473598795e-11,"ddlB"
14479.6730405483,-2.1116729948207,0.291079816410377,-7.25461840969273,4.02795770551427e-13,4.63215136134141e-11,"PA3631"
7383.03940568281,-1.25856738211698,0.174003068747764,-7.23301830924258,4.72375684624403e-13,5.32145669209531e-11,"PA5468"
26858.0862745298,1.22667375124358,0.171163419331927,7.16668173626965,7.68373774805062e-13,8.48284647384789e-11,"PA2540"
4305.45917089727,0.894741359253186,0.125343796902634,7.13829787642551,9.44936873649935e-13,1.02275520442111e-10,"PA3317"
3177.63278358055,-0.596051985107987,0.0837396226942015,-7.11792059637809,1.09567458150215e-12,1.16310070959459e-10,"PA1241"
5525.01287536375,1.07143602189755,0.150906732066904,7.09998823261595,1.24767512230767e-12,1.29946541040346e-10,"pchB"
2817.16145150571,-1.23792516631481,0.175832419837518,-7.04036927580668,1.91731015018031e-12,1.95991704240654e-10,"pys2"
1431.61746865588,1.2946002968546,0.185684054227565,6.97205962159785,3.12334123013871e-12,3.13469883461194e-10,"tse1"
9254.87495122836,0.88973918794556,0.128956076237399,6.89955226543658,5.21666933420867e-12,5.14214548657711e-10,"PA2537"
4445.04626887848,-1.36816323889167,0.1996882504063,-6.85149594985136,7.30816683331067e-12,7.07738261752191e-10,"agtD"
709.602287077927,1.32320645609013,0.195309542320415,6.77491964995411,1.24475419173647e-11,1.18466261006644e-09,"PA2225"
43578.9902707788,0.706128662840779,0.105149454028537,6.71547626532746,1.87452938940064e-11,1.75379698804941e-09,"murC"
10820.422297998,1.7063975214461,0.255092247756312,6.6893350795835,2.24186874643118e-11,2.06251924671669e-09,"PA0277"
7272.93430405224,-1.12882039968763,0.170590065558185,-6.61715203633947,3.6618484014918e-11,3.31367265184176e-09,"queA"
2659.93324270906,-1.61745787895647,0.244740557345459,-6.60886735120643,3.8727152561506e-11,3.44796584095989e-09,"PA0671"
9710.18410217137,1.15987588134237,0.176276619350078,6.57986229608198,4.70884171345253e-11,4.12584226321555e-09,"PA2539"
12557.086374907,-2.28547963597878,0.34749719997227,-6.57697281060442,4.80122527660303e-11,4.14105680107011e-09,"PA3638"
29393.5201270636,0.794401403799144,0.120929456655389,6.56913067973951,5.06098544739468e-11,4.29794456455671e-09,"ftsQ"
17465.2453905425,-1.93097911871782,0.294815395019017,-6.5497906532095,5.76177966879844e-11,4.81894299572234e-09,"PA2653"
1355.82668113714,1.3011484512833,0.202687403685744,6.41948353781598,1.36737441367157e-10,1.12655324827867e-08,"qsrO"
49107.2170043594,-1.71822428109081,0.268107781261625,-6.40870724827689,1.46758684523614e-10,1.19133520377993e-08,"mutS"
6765.00037078443,0.945151461939346,0.148118552493647,6.38104711413437,1.75881181866386e-10,1.40704945493109e-08,"tse2"
11036.2357566041,-0.761981472163768,0.120167326216682,-6.34100379989972,2.28272909911341e-10,1.80009494672944e-08,"PA0608"
10916.0737608175,-1.41241073485273,0.224278577941241,-6.29757307995225,3.02341831906742e-10,2.3506012846834e-08,"armZ"
3403.70442657496,-1.69065742789833,0.269482811571182,-6.27371155155011,3.5254136326124e-10,2.70281711833618e-08,"PA3632"
660.806582821071,-1.87532278593763,0.300151990097165,-6.24791055135284,4.15979770382587e-10,3.14549086645463e-08,"alpB"
14565.3845260252,1.05960343163756,0.171100071930082,6.19288711971177,5.90720357370856e-10,4.4064545576853e-08,"magE"
10009.5260698436,0.98713510501966,0.159672170484053,6.18226145499943,6.3189754388804e-10,4.65076592301598e-08,"magC"
8205.19370064838,-1.66054168748197,0.27270515950647,-6.08914657312367,1.13514159296839e-09,8.24471262261253e-08,"ygbP"
3423.75416395303,-0.544182725405922,0.0896160860495115,-6.07237773255651,1.26030050236987e-09,9.03488152348269e-08,"PA1006"
2825.80845277737,0.777979490035298,0.129512810342406,6.00696941081329,1.89023161297414e-09,1.33770237225862e-07,"PA2289"
