"Gene","Locus_Tag","logFC","adj.P.Val"
"PA4154","PA4154",2.18867833112999,1.54517496744981e-06
"PA2883","PA2883",2.87275540286157,1.55226005261881e-06
"PA1440","PA1440",1.49013277228831,1.63130442324198e-06
"himA","PA2738",1.69105866440445,1.64113808174219e-06
"PA3306","PA3306",1.51789013522816,1.64113808174219e-06
"ig_120","ig_120",1.4781472249809,1.64113808174219e-06
"gloA1","PA3524",1.70249253885173,1.65311081859832e-06
"dadA","PA5304",1.80574638522901,1.92489559570574e-06
"PA3979","PA3979",1.70916545370119,1.95308640099143e-06
"PA2985","PA2985",2.0062081636176,2.21137140487382e-06
"PA3017","PA3017",1.62879174475197,2.45550760557926e-06
"PA5245","PA5245",1.60166150671442,2.47068355188673e-06
"warA","PA4379",1.54404313535821,2.4917445764389e-06
"PA3717","PA3717",1.66516296328182,2.62377635788353e-06
"PA3850","PA3850",1.57271171172554,2.62377635788353e-06
"PA5048","PA5048",1.57514658027206,2.64087501843264e-06
"PA1126","PA1126",1.45226152529662,2.85723708457239e-06
"PA2464","PA2464",1.44313163098044,2.85723708457239e-06
"PA5438","PA5438",1.70947677773265,2.89037619324607e-06
"zipA","PA1528",1.45183420227546,2.89037619324607e-06
"PA5424","PA5424",2.11716299156678,2.9229698122948e-06
"PA1968","PA1968",1.46632631627838,2.9229698122948e-06
"sutA","PA5285",1.5813468152575,2.94129529529256e-06
"PA2867","PA2867",1.37144679532774,2.99033103285558e-06
"PA3349","PA3349",1.74595053127588,3.1673059401345e-06
"PA5463","PA5463",1.86640967525392,3.19018181697049e-06
"nfuA","PA1847",1.61017164756789,3.23281567092487e-06
"PA3480","PA3480",1.73383092220818,3.26934747458982e-06
"PA4383","PA4383",1.47395381367149,3.29862785969315e-06
"lppL","PA5276",1.4798941976437,3.36489020628035e-06
"PA2754","PA2754",2.25433219881765,3.40462474864587e-06
"PA4724","PA4724",1.64948360351694,3.40462474864587e-06
"PA3046","PA3046",1.49467196691647,3.40462474864587e-06
"PA5371","PA5371",1.45530465724197,3.42881005410593e-06
"PA0490","PA0490",1.73995958241655,3.47305694746267e-06
"PA4360","PA4360",1.49759606468854,3.70013620123232e-06
"PA1425","PA1425",1.49077614426394,3.70013620123232e-06
"PA3185","PA3185",1.65854567608226,3.80663136643462e-06
"PA4739","PA4739",2.87736939117019,3.86622090227609e-06
"ig_364","ig_364",1.4080680684348,3.86622090227609e-06
"bacA","PA1959",1.49526760251125,4.02014923584938e-06
"pauB3","PA2776",1.50708677779248,4.05123342418807e-06
"rplS","PA3742",1.94377001674076,4.24137179486187e-06
"PA0332","PA0332",1.81121528909325,4.26788049808619e-06
"flgF","PA1081",1.79873742816504,4.32893148204399e-06
"PA1439","PA1439",1.46720876788297,4.56365244299214e-06
"PA3463","PA3463",1.41200016208157,4.56754516710734e-06
"mcpK","PA5072",1.66616466716051,4.64425929487871e-06
"pyrE","PA5331",1.72722070744206,4.71701586626418e-06
"PA2855","PA2855",1.41446017238717,4.71701586626418e-06
"PA4395","PA4395",1.62641254652769,4.84789579128996e-06
"PA3722","PA3722",1.45082801032559,4.88616473755284e-06
"PA4114","PA4114",1.96012160610932,4.90832656719183e-06
"rpmI","PA2742",1.6849887323078,5.169805236939e-06
"cysK","PA2709",1.39783224766961,5.44493550408009e-06
