"Gene","Locus_Tag","logFC","adj.P.Val"
"rpoC","PA4269",-4.89770828919207,1.080647484751e-07
"PA0922","PA0922",2.29405264594901,1.080647484751e-07
"mgtE","PA0913",2.12556268361049,1.08637213301549e-07
"eno","PA3635",-2.75480709596134,1.14538811950906e-07
"rmlA","PA5163",-2.27163140535294,1.17420545919778e-07
"PA4465","PA4465",-2.85638452060812,1.19477933346343e-07
"PA0456","PA0456",2.11190565683707,1.19477933346343e-07
"PA4574","PA4574",2.05321528723147,1.21859733141284e-07
"PA3496","PA3496",2.98497250635456,1.23108578327327e-07
"PA0401","PA0401",-2.13245125956152,1.23540170706206e-07
"PA0039","PA0039",2.64304571844199,1.25735382051838e-07
"nqrD","PA2996",-3.07181090357393,1.32473638801141e-07
"fimS","PA5262",2.18114319767129,1.35229019885307e-07
"kdsA","PA3636",-2.13542824982228,1.35229019885307e-07
"nuoJ","PA2645",-2.10384411375101,1.35229019885307e-07
"PA3386","PA3386",2.40256062920171,1.36521975374078e-07
"PA4656","PA4656",2.14857656648297,1.47067025940817e-07
"fpvK","PA2406",-3.77490301988855,1.49108994979501e-07
"pqsC","PA0998",-4.67638489552551,1.49334653841513e-07
"mltD","PA1812",-2.55729614178949,1.49334653841513e-07
"surA","PA0594",-2.90818793659051,1.54118551279485e-07
"smpB","PA4768",2.17636814159902,1.60646498614155e-07
"carB","PA4756",-2.86157081180684,1.64768564515714e-07
"PA0760","PA0760",2.18609922421743,1.67710757534614e-07
"phnA","PA1001",-4.25039112179121,1.68927664051423e-07
"motY","PA3526",2.32750220987704,1.69710739017741e-07
"ddlB","PA4410",-2.09388439804906,1.71053092293215e-07
"PA5212","PA5212",3.69627947646261,1.74171857816161e-07
"ftsQ","PA4409",-3.01492158290983,1.77071892603949e-07
"PA3647","PA3647",-1.98337992186774,1.77071892603949e-07
"waaG","PA5010",-2.20645697629596,1.79587767578785e-07
"rpoB","PA4270",-4.69955778500041,1.79606723602311e-07
"serC","PA3167",-2.64789755129026,2.01785722590723e-07
"murD","PA4414",-2.17409273631715,2.01785722590723e-07
"zwf","PA3183",2.53312989232061,2.02830357774134e-07
"PA0891","PA0891",-1.95249523145317,2.30239007634926e-07
"hisS","PA3802",-2.30028452170835,2.32904746921813e-07
"PA4673","PA4673",-2.29763919189676,2.32904746921813e-07
"PA1574","PA1574",2.41364803189788,2.33363191146923e-07
"PA4430","PA4430",-2.66892205476057,2.38985055744352e-07
"obg","PA4566",2.04898051047785,2.39056054072844e-07
"sucA","PA1585",-3.82205338193843,2.47566869880146e-07
"PA3213","PA3213",-1.92295631674845,2.52129413151516e-07
"dacC","PA3999",-2.59881424491544,2.77522062477439e-07
"PA0655","PA0655",2.02639991452682,2.86439935435029e-07
"murC","PA4411",-2.19287035321188,2.9431698364963e-07
"PA3674","PA3674",2.29431325422864,2.99751409352581e-07
"ccoP1","PA1552",-3.31375565754985,3.11091291270654e-07
"PA0537","PA0537",1.91886706268219,3.11091291270654e-07
"fpvG","PA2403",-2.15314766593083,3.13497465889202e-07
"ssb","PA4232",1.93718940421259,3.15307257554373e-07
"rplT","PA2741",1.91362879684211,3.22489985472209e-07
"tssC1","PA0084",-2.6923027544133,3.30591849699429e-07
"PA2992","PA2992",-2.32827802784833,3.4093121103965e-07
"purH","PA4854",-2.05383374966081,3.60309142090457e-07
"PA5481","PA5481",2.85163646963036,3.69163500892176e-07
"PA3902","PA3902",1.90820743871344,3.69825442852931e-07
"PA4222","PA4222",-2.46455691776176,3.70168148922879e-07
"PA2761","PA2761",-2.07419600330408,3.70314240602223e-07
"aceA","PA2634",-3.5599837898035,3.78294654613394e-07
"ftsW","PA4413",-2.22993815886989,3.78407046283336e-07
"PA3352","PA3352",2.04965900769557,3.83728526542333e-07
"nuoL","PA2647",-2.40471018618496,3.8637066067094e-07
"PA0460","PA0460",2.05968631996557,3.89839824195265e-07
"wapB","PA1014",2.0566271379276,3.89839824195265e-07
"PA5526","PA5526",1.84389958206949,3.99547123079521e-07
"valS","PA3834",-3.02440835066783,4.10334237332901e-07
"PA1766","PA1766",-2.21403237392931,4.22205817759587e-07
"serS","PA2612",-1.68314781998114,4.22205817759587e-07
"fur","PA4764",2.18172305526594,4.26733890521235e-07
"PA3012","PA3012",-1.82396042552465,4.51577689643241e-07
"PA3371","PA3371",2.1350163472451,4.52417371286331e-07
"PA1030","PA1030",2.59583945140688,4.67488123966694e-07
"PA5183","PA5183",1.81820541440644,5.24141390770655e-07
"PA1360","PA1360",1.98009550213144,5.52142615967612e-07
"PA3270","PA3270",1.72056036986172,5.52142615967612e-07
"PA5568","PA5568",-2.77557022241297,5.57013276632482e-07
"shaD","PA1057",-1.80800992677467,5.79341347964291e-07
"nuoG","PA2642",-2.01891172944382,5.95542540148229e-07
"PA5184","PA5184",1.70927531541903,5.95542540148229e-07
"typA","PA5117",-2.34626398165939,6.01851029839337e-07
"PA1053","PA1053",2.11077970801939,6.12436721260761e-07
"PA0469","PA0469",2.09648736376734,6.12436721260761e-07
"blc","PA5107",2.08636374414674,6.12436721260761e-07
"PA0250","PA0250",2.08076808153417,6.12436721260761e-07
"PA3712","PA3712",1.84101455992716,6.12436721260761e-07
"algR","PA5261",1.82568078830572,6.12436721260761e-07
"secF","PA3820",-2.23808758966614,6.14875579591111e-07
"grxD","PA3533",2.03375630253083,6.21133160766422e-07
"PA4507","PA4507",1.73126633004239,6.21133160766422e-07
"rpoH","PA0376",1.68964352177445,6.21133160766422e-07
"phaF","PA5060",2.11229945432475,6.28828762949285e-07
"PA3179","PA3179",1.93411350348688,6.52326202528962e-07
"PA0665","PA0665",1.70586875143737,6.68755158927639e-07
"lptE","PA3988",-2.29769390798096,6.8904253863671e-07
"atpD","PA5554",-2.99601949413218,6.93469572938297e-07
"dnaK","PA4761",-3.45044905336649,7.00807950359463e-07
"PA2604","PA2604",2.0089120275459,7.00807950359463e-07
"PA5437","PA5437",2.032302873139,7.29641604340125e-07
"hepA","PA3308",-1.79230892630859,7.55483987851951e-07
"PA1679","PA1679",1.93331741490163,7.67362480756011e-07
"PA1579","PA1579",2.21383919336707,7.69804629694722e-07
"folK","PA4728",-1.68029197954785,7.90714291239185e-07
"faoB","PA3013",-2.64569796029285,8.0312419197448e-07
"ansB","PA1337",-2.87516075292309,8.05750814529835e-07
"PA4611","PA4611",2.04557266362993,8.35731710894512e-07
"ftsZ","PA4407",-2.45167055576386,8.50735427733218e-07
"himD","PA3161",1.93828666595752,8.70404709834945e-07
"algQ","PA5255",1.88936923626948,8.86132869187419e-07
"PA2393","PA2393",-3.4406866260879,8.99876795459161e-07
"phzG2","PA1905",-4.49396171683505,9.41933166377779e-07
"icmP","PA4370",-3.09628297150574,9.81037399469403e-07
"dnaN","PA0002",-2.17175365799198,9.81037399469403e-07
"aotM","PA0890",-1.62832757459296,9.81037399469403e-07
"pdxA","PA0593",-2.01011935933157,9.91092101688046e-07
"PA2957","PA2957",1.6381355304031,9.91092101688046e-07
"spoOJ","PA5562",-1.98249985010303,1.0299439172442e-06
"PA5348","PA5348",2.47037865634027,1.03645363836325e-06
"hemL","PA3977",-1.87519249937581,1.05373181143101e-06
"PA3796","PA3796",2.09381410003892,1.07058654147012e-06
"PA1541","PA1541",1.76140461820123,1.14135758147763e-06
"mraY","PA4415",-1.76823038141177,1.1470921182893e-06
"ampP","PA4218",-3.24785002481718,1.19390731520543e-06
"lolA","PA2614",-1.99477627939504,1.19390731520543e-06
"clpX","PA1802",-1.66945972066586,1.19922920566084e-06
"pvdS","PA2426",-2.29269692386521,1.23984615855657e-06
"PA3981","PA3981",-1.80665924401234,1.23984615855657e-06
"PA3973","PA3973",1.76490915763378,1.28251059431084e-06
"mexG","PA4205",2.82912916805794,1.33170038756063e-06
"PA1592","PA1592",3.1132400769909,1.33984828467913e-06
"vgrG4b","PA3486",-1.65733231364115,1.36177369614019e-06
"ccmE","PA1479",-1.92044497871786,1.38975522557595e-06
"purD","PA4855",-2.31146683784346,1.43081762168002e-06
"gbt","PA3082",-2.22550877881707,1.43081762168002e-06
"PA2044","PA2044",-1.72104139637928,1.47681055740514e-06
"PA5435","PA5435",-1.69848988819113,1.48709524446605e-06
"fmt","PA0018",-1.59198659621026,1.51794320943033e-06
"hslU","PA5054",-2.76373850363669,1.52483949663261e-06
"PA4154","PA4154",2.18867833112999,1.54517496744981e-06
"PA2883","PA2883",2.87275540286157,1.55226005261881e-06
"phzS","PA4217",-3.59289229643262,1.58316292144049e-06
"dxr","PA3650",-1.79265157583755,1.60100504428885e-06
"PA1440","PA1440",1.49013277228831,1.63130442324198e-06
"himA","PA2738",1.69105866440445,1.64113808174219e-06
"PA3306","PA3306",1.51789013522816,1.64113808174219e-06
"ig_120","ig_120",1.4781472249809,1.64113808174219e-06
"rpmC","PA4255",-2.81539911141943,1.65311081859832e-06
"gloA1","PA3524",1.70249253885173,1.65311081859832e-06
"nqrE","PA2995",-2.45343786926826,1.67271569069757e-06
"nuoK","PA2646",-2.49111356071409,1.7412510836804e-06
"hcnC","PA2195",-2.30828566377342,1.75204699462219e-06
"PA3172","PA3172",-2.13020503509537,1.77580718480511e-06
"tagJ1","PA0086",-1.85035572359516,1.77915914684654e-06
"lpd","PA1587",-3.18528521953435,1.82675614538521e-06
"dadA","PA5304",1.80574638522901,1.92489559570574e-06
"glmU","PA5552",-1.57101510036625,1.92691980834368e-06
"rrmA","PA1161",-1.87436290515718,1.93458528182897e-06
"spuF","PA0302",-1.8238819308397,1.93458528182897e-06
"PA3979","PA3979",1.70916545370119,1.95308640099143e-06
"PA5024","PA5024",-1.68961617754932,1.9533956045845e-06
"PA0068","PA0068",-1.60386408561665,1.9585743618284e-06
"fpvE","PA2409",-2.00370997222416,1.99687649574046e-06
"tgt","PA3823",-1.47366368998405,2.0381304853996e-06
"mreD","PA4479",-1.87901782717014,2.07162003792267e-06
"lptB","PA4461",-1.99039580415859,2.11592811939723e-06
"PA2985","PA2985",2.0062081636176,2.21137140487382e-06
"fadH1","PA3092",-1.74938654352943,2.21137140487382e-06
"cobQ","PA1277",-1.86778807107897,2.24834427813444e-06
"PA0017","PA0017",-1.79683110740179,2.272710715905e-06
"rne","PA2976",-2.37196044213998,2.29567294406915e-06
"ccoN1","PA1554",-1.72805374751585,2.29567294406915e-06
"nth","PA3495",-1.91765176015656,2.32447211960939e-06
"aruG","PA0897",-2.04393998124492,2.34251650201308e-06
"still frameshift 3-phosphoshikimate 1-carboxyvinyltransferase prephenate dehydrogenase","PA3164",-2.13260125701745,2.37352915504481e-06
