"Gene","Locus_Tag","logFC","adj.P.Val"
"typA","PA5117",-2.34626398165939,6.01851029839337e-07
"secF","PA3820",-2.23808758966614,6.14875579591111e-07
"lptE","PA3988",-2.29769390798096,6.8904253863671e-07
"atpD","PA5554",-2.99601949413218,6.93469572938297e-07
"dnaK","PA4761",-3.45044905336649,7.00807950359463e-07
"hepA","PA3308",-1.79230892630859,7.55483987851951e-07
"folK","PA4728",-1.68029197954785,7.90714291239185e-07
"faoB","PA3013",-2.64569796029285,8.0312419197448e-07
"ansB","PA1337",-2.87516075292309,8.05750814529835e-07
"ftsZ","PA4407",-2.45167055576386,8.50735427733218e-07
"PA2393","PA2393",-3.4406866260879,8.99876795459161e-07
"phzG2","PA1905",-4.49396171683505,9.41933166377779e-07
"icmP","PA4370",-3.09628297150574,9.81037399469403e-07
"dnaN","PA0002",-2.17175365799198,9.81037399469403e-07
"aotM","PA0890",-1.62832757459296,9.81037399469403e-07
"pdxA","PA0593",-2.01011935933157,9.91092101688046e-07
"spoOJ","PA5562",-1.98249985010303,1.0299439172442e-06
"hemL","PA3977",-1.87519249937581,1.05373181143101e-06
"mraY","PA4415",-1.76823038141177,1.1470921182893e-06
"ampP","PA4218",-3.24785002481718,1.19390731520543e-06
"lolA","PA2614",-1.99477627939504,1.19390731520543e-06
"clpX","PA1802",-1.66945972066586,1.19922920566084e-06
"pvdS","PA2426",-2.29269692386521,1.23984615855657e-06
"PA3981","PA3981",-1.80665924401234,1.23984615855657e-06
"vgrG4b","PA3486",-1.65733231364115,1.36177369614019e-06
"ccmE","PA1479",-1.92044497871786,1.38975522557595e-06
"purD","PA4855",-2.31146683784346,1.43081762168002e-06
"gbt","PA3082",-2.22550877881707,1.43081762168002e-06
"PA2044","PA2044",-1.72104139637928,1.47681055740514e-06
"PA5435","PA5435",-1.69848988819113,1.48709524446605e-06
"fmt","PA0018",-1.59198659621026,1.51794320943033e-06
"hslU","PA5054",-2.76373850363669,1.52483949663261e-06
"phzS","PA4217",-3.59289229643262,1.58316292144049e-06
"dxr","PA3650",-1.79265157583755,1.60100504428885e-06
"rpmC","PA4255",-2.81539911141943,1.65311081859832e-06
"nqrE","PA2995",-2.45343786926826,1.67271569069757e-06
"nuoK","PA2646",-2.49111356071409,1.7412510836804e-06
"hcnC","PA2195",-2.30828566377342,1.75204699462219e-06
"PA3172","PA3172",-2.13020503509537,1.77580718480511e-06
"tagJ1","PA0086",-1.85035572359516,1.77915914684654e-06
"lpd","PA1587",-3.18528521953435,1.82675614538521e-06
"glmU","PA5552",-1.57101510036625,1.92691980834368e-06
"rrmA","PA1161",-1.87436290515718,1.93458528182897e-06
"spuF","PA0302",-1.8238819308397,1.93458528182897e-06
"PA5024","PA5024",-1.68961617754932,1.9533956045845e-06
"PA0068","PA0068",-1.60386408561665,1.9585743618284e-06
"fpvE","PA2409",-2.00370997222416,1.99687649574046e-06
"tgt","PA3823",-1.47366368998405,2.0381304853996e-06
"mreD","PA4479",-1.87901782717014,2.07162003792267e-06
"lptB","PA4461",-1.99039580415859,2.11592811939723e-06
"fadH1","PA3092",-1.74938654352943,2.21137140487382e-06
"cobQ","PA1277",-1.86778807107897,2.24834427813444e-06
"PA0017","PA0017",-1.79683110740179,2.272710715905e-06
"rne","PA2976",-2.37196044213998,2.29567294406915e-06
"ccoN1","PA1554",-1.72805374751585,2.29567294406915e-06
"nth","PA3495",-1.91765176015656,2.32447211960939e-06
"aruG","PA0897",-2.04393998124492,2.34251650201308e-06
"still frameshift 3-phosphoshikimate 1-carboxyvinyltransferase prephenate dehydrogenase","PA3164",-2.13260125701745,2.37352915504481e-06
"cysD","PA4443",-2.12722358045776,2.45550760557926e-06
"PA1478","PA1478",-1.65722977280415,2.45550760557926e-06
"pvdN","PA2394",-3.71000036297581,2.47883424404928e-06
"waaC","PA5011",-1.63550937752053,2.51437150957837e-06
"shaE","PA1058",-1.89665050044657,2.53823334519475e-06
"cmk","PA3163",-2.16809137459799,2.61831246746806e-06
"tssE1","PA0087",-1.78770768401831,2.62377635788353e-06
"metZ","PA3107",-2.52419235342402,2.71535377439964e-06
"pvdT","PA2390",-1.89869882487038,2.71789786030072e-06
"topA","PA3011",-2.18205518360502,2.83437444440272e-06
"tle5","PA3487",-2.05989362665135,2.89037619324607e-06
"PA0387","PA0387",-1.90012285923704,2.9229698122948e-06
"lolD","PA2987",-1.56947886271784,3.00320941892425e-06
"PA5003","PA5003",-1.53798875759804,3.02252404525777e-06
"atpA","PA5556",-3.04121876228738,3.12310873309977e-06
"truA","PA3114",-2.0764565504563,3.12677681532074e-06
"phzE2","PA1903",-4.07817845857546,3.15750812728367e-06
"murG","PA4412",-1.48576779793325,3.16224442499548e-06
"PA0769","PA0769",-2.57577119428223,3.1673059401345e-06
"nqrF","PA2994",-1.60136014458414,3.1673059401345e-06
"PA1011","PA1011",-1.65199496315623,3.17820300202672e-06
"ccmG","PA1481",-2.01944830155362,3.18289021170711e-06
"mksB","PA4686",-2.35492104756353,3.26934747458982e-06
"tse3","PA3484",-1.81999195274914,3.26934747458982e-06
"tatC","PA5070",-1.83150634033683,3.36526401825431e-06
"PA4223","PA4223",-1.8647015791881,3.38257743090747e-06
"phhB","PA0871",-1.45130323448429,3.38257743090747e-06
"secD","PA3821",-1.44723498428644,3.38257743090747e-06
"waaF","PA5012",-1.54357930012636,3.4552118031205e-06
"nqrC","PA2997",-1.52334876150433,3.57654362594189e-06
"cysN","PA4442",-2.27396429908122,3.71513774356176e-06
"aatM","PA1340",-1.67827979508986,3.7759096892715e-06
"PA2633","PA2633",-1.63048325674328,3.80805469047428e-06
"tse5","PA2684",-1.51124658628169,3.80805469047428e-06
"clpV1","PA0090",-2.41558408440563,3.81558681714455e-06
"PA3335","PA3335",-1.87470825287522,3.85390359317833e-06
"tolQ","PA0969",-1.61670487914326,3.97840757426061e-06
"prs","PA4670",-1.75637821918378,4.25896869292036e-06
"rmlC","PA5164",-2.54475579021859,4.26788049808619e-06
"PA1550","PA1550",-1.63747024849785,4.26788049808619e-06
"fpvD","PA2408",-2.53129108648423,4.31704677711836e-06
"soj","PA5563",-1.63856684578524,4.39988869367085e-06
"lpxB","PA3643",-1.55404613591635,4.41050455509208e-06
"PA3799","PA3799",-1.58674508431409,4.56754516710734e-06
"sdhD","PA1582",-1.9572145464949,4.71701586626418e-06
"waaP","PA5009",-1.66216172819126,4.87590075144154e-06
"maiA","PA2007",-1.49674518358144,4.96551598565195e-06
"aatP","PA1339",-2.17526240440027,5.14904378036754e-06
"guaA","PA3769",-2.27075982870891,5.34215661166642e-06
"opr86","PA3648",-2.11685600094475,5.47613902505071e-06
"lytB","PA4557",-1.51423594564557,5.47613902505071e-06
"pvdJ","PA2400",-1.98990832209338,5.54949185267204e-06
"PA2630","PA2630",-2.44288378556249,5.72001136769433e-06
"hcnB","PA2194",-1.8504388290171,5.76874522534346e-06
"PA5340","PA5340",-1.81619425900714,5.86789477103981e-06
"dut","PA5321",-1.42957883177216,5.90746852082166e-06
"pqsD","PA0999",-3.23860230496463,5.92052458307124e-06
"PA4321","PA4321",-1.72928629258107,5.92052458307124e-06
"glnS","PA1794",-1.51641595825994,5.92052458307124e-06
"atpC","PA5553",-3.30197177770462,6.02387836288256e-06
"PA0389","PA0389",-1.41762062765045,6.07136666407795e-06
"ponA","PA5045",-1.74800940024773,6.07847196784531e-06
"dapB","PA4759",-1.88444562091812,6.48430182324352e-06
"phzF2","PA1904",-4.13505345781014,6.64094605378121e-06
"PA3332","PA3332",-2.54415135184703,6.67333849011549e-06
"gdhB","PA3068",-2.3328467989078,6.73018102232746e-06
"argJ","PA4402",-1.67203662612574,6.90879476275382e-06
"dnaE","PA3640",-1.55527154709365,6.95619302063397e-06
"PA3804","PA3804",-1.80155386230085,7.0710754183593e-06
"pilO","PA5042",-1.73832220080824,7.2087369206369e-06
"lipB","PA3997",-1.56711028473729,7.59768949859776e-06
"lolB","PA4668",-1.49579966279243,7.6667657691194e-06
"trmA","PA4720",-1.44707864197601,7.68116503609859e-06
"holA","PA3989",-1.81387518000064,7.70395270976474e-06
"wapH","PA5004",-1.64861147679188,7.71016404851883e-06
"PA1459","PA1459",-1.43425177505303,7.85104311596607e-06
"PA4965","PA4965",-1.78859321624216,7.8901717944746e-06
"pabC","PA2964",-1.55334382484016,8.16386619776511e-06
"pilN","PA5043",-1.33295040924176,8.42327401328641e-06
"ilvC","PA4694",-2.08778273359651,8.62813813312967e-06
"PA1767","PA1767",-1.81120532653596,8.75555694468569e-06
"PA0506","PA0506",-1.3771481292562,8.77624350839442e-06
"tssB1","PA0083",-2.40818729149174,8.97248766627346e-06
"chtA","PA4675",-1.70841177576051,9.20373008439664e-06
"hisG","PA4449",-1.8916470072961,9.42150318087849e-06
"pilQ","PA5040",-1.44883899981672,9.56091361773724e-06
"cysS","PA1795",-1.95642707870477,9.57799047162858e-06
"nrdA","PA1156",-1.66565688199305,9.69259234704192e-06
"pppA","PA0075",-1.68039781642121,9.81543244081021e-06
"pvdE","PA2397",-2.36354977861473,9.85069483460493e-06
"nuoM","PA2648",-1.91447082434123,9.86758472725594e-06
"rpsK","PA4240",-2.29759641496745,9.9310886039656e-06
"pscE","PA1718",-2.27742738143914,9.9310886039656e-06
"moeB","PA4663",-1.27079745311189,9.9310886039656e-06
"phnB","PA1002",-3.21142936551436,9.93433017487414e-06
"ppkA","PA0074",-1.52774729544802,9.93433017487414e-06
"prfA","PA4665",-1.51705639947026,9.94202138653472e-06
"ubiG","PA3171",-1.35998462194819,1.00766342669835e-05
"rpsM","PA4241",-2.00877277153409,1.06261949037535e-05
"PA1012","PA1012",-1.60004870769663,1.06261949037535e-05
"mexB","PA0426",-1.57536088420186,1.06261949037535e-05
"PA3331","PA3331",-2.32098013952253,1.07719333570107e-05
"rpsD","PA4239",-3.1719842182611,1.14038221085134e-05
"cycH","PA1483",-1.83511485171557,1.1434981662417e-05
"phuU","PA4707",-1.30370090164949,1.17011533623431e-05
"PA2608","PA2608",-1.45145109502435,1.17641767318962e-05
"fabI","PA1806",-1.61168352551389,1.18604370832674e-05
