"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA2654","tlpQ",0.409930289545359,4.59588740758461,0.0282741261246481,0.0616522149984824,-4.86924771195641
"PA0138",NA,0.419876789455824,3.28597582357438,0.0284077926596989,0.0619150921697083,-4.87372537334149
"PA2920",NA,0.457574595501613,4.94259314936912,0.0284617977331841,0.0620041838993675,-4.87552826670366
"PA4588","gdhA",0.522352148430667,2.73761210521233,0.0286190054662521,0.0623176446977952,-4.88075627877923
"PA0816",NA,0.414449700584887,3.16265016917411,0.0286320747394062,0.0623176446977952,-4.8811895581043
"PA4021","eatR",0.429954061747148,3.68914060095404,0.028685090832887,0.0624042763720522,-4.88294506859526
"PA1747",NA,-0.541305327700687,4.36005554802638,0.0287284836205723,0.0624411542291593,-4.88437941576717
"PA5281",NA,-0.41636026018325,2.9489498638799,0.0287207498100204,0.0624411542291593,-4.88412393995814
"PA4140",NA,-0.378362184532291,2.89233076955049,0.0287964879736702,0.062560171434979,-4.88662277178205
"PA5307",NA,0.37254157794841,4.40247929156456,0.0288648862777861,0.0626799346620615,-4.88887357337805
"PA1245","aprX",0.461381217945725,5.40768966183253,0.0288786572965452,0.0626810194906171,-4.88932606923309
"PA0772","recO",-0.430071933275792,2.75386597828963,0.0289395434402069,0.0627843195535586,-4.89132401454839
"PA3269",NA,0.515409899255963,3.3447700676432,0.0292231741225174,0.0633705470067262,-4.90057394243948
"PA5246",NA,0.513079579694933,3.97360402695696,0.0292424249767175,0.0633831909890026,-4.90119837453979
"PA4196","bfiR",0.41183937186632,4.76602731217457,0.0294315019311043,0.0637637539544062,-4.90730875739421
"PA3655","tsf",0.475366276703615,6.03733649959055,0.0295589592125733,0.0640105292805978,-4.91140478284529
"PA1890",NA,0.395645884707572,4.24183130362688,0.0296568524944759,0.0641930863113701,-4.91453826826055
"PA4510",NA,0.436551073113209,5.11900981535,0.0297807318248236,0.0644316978509582,-4.91848815439941
"PA4578",NA,-0.421718139423992,7.8647999337256,0.0298173924340905,0.064481476403942,-4.91965379795289
"PA0799",NA,-0.450241170234714,2.85297842215587,0.029932134110373,0.0646999859969299,-4.92329245454196
