"","GSM252496","GSM252501","GSM252505","GSM252506","GSM252507","GSM252508","GSM252559","GSM252560","GSM252561","GSM252562"
"ig_2244492_2243603_at",3.9415289807548,3.8028178577481,3.8859439852723,3.61469722660249,3.64624973297913,3.71246169659985,3.52882371404286,3.69256265026076,3.89676062396584,3.63102701281114
"ig_2282480_2281578_at",3.29461864763587,3.08583553223137,3.12365735657586,3.4595213825049,3.10557129283713,3.78285100060386,2.85560447017904,2.9717152994523,2.87879800673383,2.60447050957284
"ig_2893827_2894451_at",2.65354598146007,2.83435966467113,2.8874644992459,4.21430773025337,4.0290239728099,4.08173379708617,2.53133100364985,2.75454267020692,2.68755804208688,2.9671942256634
"ig_2894451_2893827_at",3.61686919187841,3.28327076003156,3.47211115110395,4.36686518843969,4.16001145121648,4.3825904475353,3.41974622520271,3.52962362605977,3.39026685428202,3.25268904318083
"ig_2927920_2928538_at",3.66260392953999,3.47362982508046,3.53985590620884,3.76009034292055,3.39677559731075,3.35034019801366,2.26141164495085,2.87862348111978,2.2119988328748,2.70376540301847
"ig_2928538_2927920_at",4.23969513434054,4.13015143655901,3.69959621752127,4.54811977265853,4.23931851483717,3.73871849816175,3.49431112443103,3.36098549361265,3.15618809410339,3.31209810372953
"ig_3112150_3112877_at",3.28077631780154,2.74628079973524,2.81177719127833,3.12370010812452,3.17227281463713,3.41765477037142,2.37277215267198,2.34465563967141,2.22642639113554,2.51138720818752
"ig_3115632_3116653_at",2.76778462864137,2.69782800329399,2.42127602599364,3.24140758522597,2.97914894853624,2.93969433030332,3.69923107128754,3.45100005495575,3.63440407021628,3.09807239817288
"ig_3116653_3115632_at",4.65374448923063,4.72496615321564,4.27544997608826,4.77226507192045,4.88227330791191,4.53362497136039,4.08022371423773,4.2416675948128,4.02615489667511,4.04888744012198
"ig_3123598_3122585_at",4.26648389808612,4.32568914275461,4.10670868930688,4.29565335252313,4.36997460670866,4.30523389439822,4.30976584206242,4.78082120176389,4.39009209714412,4.25648825192263
"ig_3129728_3129070_at",2.8072859942435,2.93310503208858,2.7599280456401,3.68327981929536,3.58085459113186,3.7053482268563,4.25828413741114,3.60692002114518,3.93508258361184,3.66964501260224
"ig_326671_327284_at",4.12036587371871,4.16074608103081,4.59017906794325,4.94062358378271,4.52964169492933,4.38555237261968,4.35424449440473,4.43067101474447,4.13928733114533,4.33143704230102
"ig_3515415_3514564_at",3.11407899336589,2.92985757904197,2.69808595906054,3.36459789082491,3.11775715263898,2.8375659609918,1.72240086092032,1.92686449221512,2.10786240201694,1.94258383910823
"ig_3649704_3648915_at",3.22229897416081,3.2038823235111,3.44020240047924,4.66514220693184,4.77803317915051,4.64741251737321,4.76160215338835,4.58852297557952,4.66510290804432,4.48811834612563
"ig_3677719_3677080_at",5.13177359619644,4.71722155968414,4.73033020642333,4.48678769886593,4.8929230057242,4.91548073801417,4.37208179640714,4.33439820185209,3.9676666163469,3.93410399653244
"ig_3705889_3705160_at",3.89899908552409,3.39438542341599,3.65411715961551,4.57525012723925,4.74229325328769,4.635690444816,5.05085740960317,4.91498573695857,4.98829786428312,4.83876370808836
"ig_3874653_3873835_r_at",8.45518739590746,7.27619159028096,7.62129940190783,7.64796883472613,7.55018082028531,7.40807229809956,3.99416739055759,3.84168714427271,3.55643980938113,3.75639245754587
"ig_4321433_4320819_at",3.93406089000816,3.2520873112575,3.1744731996095,3.83491636774481,3.7994298061326,3.32397521916996,3.08296137670045,2.80740425115054,2.93650639698375,2.47677452984292
"ig_4448217_4448892_at",2.89614161218988,2.90080628203801,2.77603314007981,3.16586508617512,2.99217427251994,2.94983875381772,2.81818728162079,2.73458855660652,3.0372336035663,2.53154304741909
"ig_4448892_4448217_at",3.38798738490026,3.4847425893613,3.5139525503026,4.15488533816208,3.88909244167115,4.56691223559484,2.94832084795994,3.15694492757418,3.12600234663473,3.20154204522644
"ig_4705955_4705304_at",3.65126273435859,2.68458164967956,2.56164479751809,3.59871465744025,2.85382265480738,2.58126006298759,2.32323182188034,2.19570815815022,2.55595695099312,2.16658352187804
"ig_4713795_4713098_at",2.79084693007724,2.61757159380598,2.19670667454184,2.26387359636246,2.84293258795565,2.70432838582233,2.94456412183558,3.56042187068538,3.65502319100656,3.43986924117971
"ig_4888194_4889111_at",3.13658630207954,2.94278037448201,2.6426328081814,2.81019406211655,2.7301076433853,3.32357343030794,2.52769705412237,2.43638364664502,2.40007304103217,2.42131120089805
"ig_4889111_4888194_at",3.9122020762012,3.52283179541415,3.61769335709332,3.90882920583644,4.13956489129425,4.09399426402446,3.22102594827407,3.38374965429571,3.49218238348352,3.22795011187876
