"","Gene","Locus_Tag","logFC","adj.P.Val"
"5662","PA5470","PA5470",3.39752544754496,0.00011213643801674
"5663","armZ","PA5471",2.87407978473573,0.00011213643801674
"3945","trmD","PA3743",2.48223134129162,0.00011213643801674
"2686","PA2482","PA2482",2.19311878344801,0.00011213643801674
"2947","thrS","PA2744",1.70272638474004,0.00011213643801674
"3174","PA2971","PA2971",2.11589468660825,0.000193059007202735
"3933","PA3731","PA3731",2.44160451223707,0.000197901581518087
"3173","rpmF","PA2970",1.84738948538849,0.000197901581518087
"4760","obg","PA4566",3.12066391152362,0.000220973233389225
"1393","phoQ","PA1180",3.0727573249692,0.00024708041820396
"1394","PA1181","PA1181",2.04449244072979,0.00024708041820396
"1558","PA1345","PA1345",1.65127961153799,0.00024708041820396
"4937","rbfA","PA4743",1.41265213889902,0.00024708041820396
"823","prtN","PA0610",3.06346849395911,0.000283409189163758
"3922","PA3720","PA3720",3.45852454579336,0.000306602410535873
"3946","rimM","PA3744",2.38186870404245,0.000307016418328146
"2944","rplT","PA2741",1.92505140785761,0.000423855862791882
"4762","rplU","PA4568",2.03018226289567,0.000485461738129225
"4759","proB","PA4565",2.43167594409443,0.000489440220397663
"4761","rpmA","PA4567",1.84334797067291,0.000489440220397663
"125","ig_370","ig_370",1.54729671630439,0.000489440220397663
"3102","atvR","PA2899",1.41104351374439,0.00058776139690512
"792","rpsU","PA0579",2.00147118609118,0.000711173693712195
"4758","PA4564","PA4564",1.41729445247067,0.000711173693712195
"3777","PA3575","PA3575",1.16399529921083,0.000711173693712195
"3934","PA3732","PA3732",2.54642767086195,0.000795602477195407
"3920","PA3718","PA3718",2.21165996782095,0.000821757928607477
"3178","rluC","PA2975",1.58855448048194,0.000838425473872445
"21","ig_111","ig_111",2.50414340534236,0.000844323791469103
"5111","pcnA","PA4918",2.72421585859443,0.000865764480751086
"3947","rpsP","PA3745",2.59787373540984,0.000865764480751086
"3931","PA3729","PA3729",1.55705291522132,0.000865764480751086
"3509","PA3306","PA3306",1.84643062516319,0.00089590578588049
"790","dnaG","PA0577",1.92618191859531,0.000919641688745064
"1556","PA1343","PA1343",2.86864921757925,0.00101062649527802
"942","pfiT","PA0729",2.73144380585066,0.00104011750034379
"791","PA0578","PA0578",1.92121228301453,0.00105137467855529
"825","ptrB","PA0612",3.14890428972901,0.00110431590768364
"1134","PA0921","PA0921",2.36175419926115,0.00132155344127373
"3817","PA3615","PA3615",-1.01793140404357,0.00132155344127373
"3921","armR","PA3719",3.19760089868717,0.00137533624786245
"1557","PA1344","PA1344",2.72291327225909,0.00137533624786245
"3043","PA2840","PA2840",2.25670576451893,0.00137533624786245
"3857","tsf","PA3655",1.51911443282299,0.00137533624786245
"337","PA0124","PA0124",1.45167254111581,0.00137533624786245
"5657","PA5465","PA5465",1.07443447121248,0.00137533624786245
"4942","tpiA","PA4748",2.43245276750526,0.00145503675988015
