"Gene","Locus_Tag","logFC","adj.P.Val"
"PA3615","PA3615",-1.06459112186745,0.000685702007655037
"oprI","PA2853",-1.351128104828,0.00184566462842925
"adhA","PA5427",-1.96491249417739,0.0132006884395072
"pilA","PA4525",-1.37769019562006,0.026859537718155
"ccoP2","PA1555",-1.57181385623668,0.0355770090126155
"PA0200","PA0200",-1.20805497275597,0.0370167122020499
"arcC","PA5173",-1.62901491881439,0.0459619279048757
"hupB","PA1804",-1.34501167549896,0.0467918559165124
"oprB","PA3186",-1.24788423609695,0.0469419240084698
