Name,Score,Direction,Studies
phzC2,0.008491332,Down,4
PA4463,0.008566673,Down,4
fabI,0.008657108,Down,4
pchC,0.008767652,Down,4
clpV1,0.008793798,Down,4
leuA,0.008971193,Down,4
PA3613,0.009148199,Down,4
ggt,0.009201806,Down,4
dppC,0.009250985,Down,4
pilB,0.009474121,Down,4
wbpH,0.009619544,Down,3
aruB,0.009779866,Down,4
aatJ,0.009867276,Down,4
