Name,Score
PA2228,0.041440867
PA0641,0.041449653
PA4280.5,0.041759643
pppA,0.041857095
PA4507,0.041968714
PA5184,0.042350248
PA2729,0.042397195
PA4004,0.042429688
PA5369.5,0.043034747
PA5481,0.04319195
purE,0.043269535
PA2559a,0.043353522
PA4690.5,0.043672298
PA0668.1,0.04430985
tagQ1,0.044379662
hisG,0.044404159
PA3048,0.044945669
sucC,0.044947402
PA3973,0.045020984
PA0636,0.045033459
pheT,0.045114231
PA0642,0.045289855
PA2560,0.045543645
PA4933,0.045801583
PA1031,0.045863345
PA2770,0.046875
PA1095,0.047130217
PA3190,0.048135161
magB,0.048160464
murA,0.048221718
P27,0.048772713
PA3109,0.048792403
dnaK,0.049198591
PA4943,0.049220144
PA1852,0.049238485
PA2974,0.049395889
murC,0.049419918
pcnA,0.049642865
PA3980,0.049891761
PA2855,0.049999005
PA0045,0.050047816
PA3292,0.050366592
PA2900,0.050612532
PA0921,0.050653755
icmF1,0.050678966
cynS,0.051004144
rpsD,0.051024226
argG,0.051048633
rpsO,0.051526984
PA5465,0.051601241
gloA1,0.051835889
tolA,0.051841325
PA2894,0.052159031
PA0643,0.052191225
guaA,0.052218764
tse2,0.052364573
ccoO2,0.052598024
PA4723,0.053258815
pilR,0.053873127
ccoP2,0.054191903
ig_364,0.054344866
rpsE,0.054568189
PA0435,0.055467007
sucD,0.055785783
PA0277,0.055810149
PA3371,0.056230565
infB,0.056373611
arnF,0.056423334
phzS,0.05674211
aspS,0.057031882
phoP,0.057075268
nrdA,0.057550935
PA2568,0.057648438
dapB,0.057805037
PA3270,0.057897472
PA4326,0.057996862
PA0046,0.058017214
ppkA,0.058224718
PA5048,0.058409486
lepA,0.058579488
PA4359,0.05892645
PA1612,0.058973542
mgtA,0.058975634
nth,0.059611093
PA2116,0.060248645
ccoQ2,0.060886197
amrZ,0.061384965
PA1199,0.062244287
PA2781,0.062289434
PA2748,0.062528675
rimK,0.062798852
trpF,0.062970202
PA0467,0.06324709
still frameshift 3-phosphoshikimate 1-carboxyvinyltransferase prephenate dehydrogenase,0.063405797
PA2860,0.063610894
atpG,0.06375518
PA2604,0.063897367
nadD1,0.064079554
atuR,0.064204693
ffh,0.064285693
atpC,0.064392732
rpmD,0.064657726
PA3866,0.064685728
PA5212,0.064770466
PA2737,0.064846322
PA1345,0.065006923
PA3076,0.065030284
PA3212,0.06534906
PA0434,0.065667836
PA0096,0.065966069
PA1545,0.066099168
PA0648,0.066467375
PA2984,0.066519924
PA2117,0.066624163
rplR,0.066721167
PA3741,0.067369739
PA5306,0.067428877
gcp,0.067517344
rpoH,0.067562975
sucA,0.067580491
pheS,0.067713898
PA2959,0.067954884
mreB,0.068046068
gapA,0.068153366
fiuA,0.068218043
alpE,0.068248202
lysS,0.068300196
PA3177,0.068695244
PA4746,0.068713064
cysE,0.068960368
folE2,0.069024454
PA0433,0.069493146
tagS1,0.069515909
PA4322,0.069811922
nusG,0.069973236
ig_194,0.070018391
algQ,0.070028877
rplB,0.070333838
estA,0.070449474
PA2161,0.07076825
PA5526,0.071511452
PA0050,0.072020591
PA5033,0.072043354
bamI,0.072104582
phaF,0.072174466
gcvT2,0.072680905
dhcA,0.073400351
PA2973,0.073466599
PA3463,0.073636017
PA3293,0.074274785
PA4571,0.074593561
PA0060,0.074911365
tufB,0.074912337
hisE,0.075180686
atpD,0.075231113
PA4564,0.075548943
mexG,0.075578913
truB,0.075852303
PA2137,0.07618744
ugmR,0.076347728
wzz,0.076415736
PA3493,0.076506216
sbrI,0.076808645
PA4399,0.076824992
PA2943,0.076976135
rpmG,0.077019471
PA1907,0.07778132
PA3075,0.078100096
PA1241,0.078462473
icmP,0.078737647
PA3835,0.079026255
PA4574,0.079126758
mvaT,0.079135279
cheR1,0.080487498
PA0041a,0.080650303
pys2,0.080691015
PA5305,0.080920709
pilP,0.080969079
mvaU,0.081080231
arcC,0.081287855
opmB,0.081925406
betB,0.08202976
PA3494,0.082244182
peptide chain release factor 2(prfB),0.082750786
rplJ,0.082791343
PA5482,0.083056742
PA1533,0.083057018
PA1790,0.083071764
ndk,0.083279779
PA1048,0.083766624
flhF,0.084183749
rplC,0.084567914
motY,0.084573025
PA2274,0.08508203
PA4357,0.085113165
crc,0.085155507
gatA,0.085404664
arcB,0.085431941
pilQ,0.086069493
idh,0.086233552
PA0529,0.086426452
ssg,0.087344597
ribA,0.087391898
ampDh3,0.087783144
nalC,0.087847064
tle5b,0.087982149
PA2658,0.088016761
PA3369,0.088396194
PA1053,0.088704488
PA4739,0.089028524
hxuR,0.089084817
galU,0.089127638
rplL,0.089208419
rplW,0.089462066
PA1193,0.089593352
PA1602,0.089606005
pslC,0.089894804
PA4524.1,0.09021358
PA4401,0.090532356
nuoG,0.090851132
PA5316.1,0.091807459
PA0810,0.092331171
aotJ,0.09254131
ilvC,0.092763787
PA5114,0.093082563
PA4689,0.094038891
PA2942,0.094152268
PA0947,0.094560442
tli5b2,0.094676442
PA3262,0.094714673
sucB,0.095313994
PA1679,0.095380326
PA2481,0.095397623
PA4395,0.095674177
PA4611,0.095921162
PA5382,0.095922334
sppB,0.095951546
ubiB,0.096589098
PA3819,0.096781908
PA4691,0.096907874
bkdA2,0.097826087
PA0359,0.098435712
algR,0.098707252
PA0483,0.098820529
ptrC,0.099019321
PA0456,0.099550899
PA2736,0.099707011
PA1832,0.099723322
PA4842,0.100198278
fpvE,0.100733185
exoT,0.101106448
PA4457,0.101116908
PA2133,0.101370736
ig_352,0.101502048
sdaA,0.101689512
PA0095,0.101809675
recQ,0.101937325
gatC,0.102148725
PA3616,0.102323873
bkdA1,0.102807971
ibpA,0.103432001
rpsC,0.103601079
PA0047,0.103920944
nqrF,0.104206049
PA1641,0.104226566
pilO,0.104558495
hscB,0.105037933
PA3577,0.105193867
PA3759,0.105196047
PA3979,0.105326812
PA2307,0.105514823
dsbA,0.105590231
PA1093,0.105670226
PA2746a,0.105833599
PA3716,0.105869435
htrB2,0.105977958
PA0733,0.106089137
PA0880,0.106471151
PA4582,0.106563065
PA3768,0.10735084
arsR,0.107524611
lolD,0.107540433
iscR,0.107970878
tagF1,0.108155775
clpP,0.108685037
PA3661,0.108980765
leuS,0.109044713
gltX,0.109309345
PA0853,0.109340134
PA5435,0.109977686
hasI,0.11007568
PA3386,0.110187596
PA4607,0.110391576
pvdS,0.111023863
pilA,0.111252789
PA2659,0.111334958
PA2980,0.111571691
PA0758,0.111610383
PA3040,0.111789393
hslU,0.111871449
PA4014,0.112475352
PA4317,0.112502215
typA,0.112704993
pvcB,0.112846669
fpvF,0.113165445
pncB1,0.113308499
mdcD,0.113484221
clpX,0.113710395
atpH,0.114121772
lpdV,0.114130435
ccmG,0.115396876
PA0735,0.115589341
PA2469,0.115715652
PA2956,0.115952796
imm2,0.116020384
PA3189,0.116034428
cobQ,0.116353204
kerV,0.116525754
PA2035,0.11667198
PA3172,0.116696133
wapB,0.117267263
PA0055,0.117893934
pta,0.117947083
PA1344,0.11796362
PA2985,0.118016573
murF,0.118063944
cobV,0.118265859
PA2205,0.119300636
pilF,0.119486394
arnE,0.119859739
pilN,0.12049729
PA4714,0.120901835
gpsA,0.12127199
groES,0.121273081
PA3818,0.121281709
PA4420,0.121397908
PA2181,0.12209117
mscL,0.122249183
PA1804.1,0.122409946
nusA,0.122438268
PA5568,0.12243969
cntI,0.123685049
grxC,0.123793449
tssA1,0.123839654
psrA,0.12397314
P26,0.124003825
mexY,0.124127187
PA0042,0.124469562
cupA5,0.124641377
cdhB,0.125278929
PA3606,0.125662211
PA0250,0.126141089
iscS,0.126362388
PA3031,0.126662867
PA1374,0.1267127
cmpX,0.126803875
PA1964,0.127171388
rho,0.127178432
fliF,0.127588618
serS,0.127648929
PA2569,0.127728315
surA,0.127946099
mksB,0.128466688
PA4463,0.128785464
fdx1,0.129726636
cobC,0.129741792
PA1450,0.129911883
PA2090,0.130060567
ptsN,0.130698119
PA2530,0.131016895
htpG,0.131118669
himA,0.13134845
ig_884,0.131811529
lpdG,0.131973223
PA2462,0.132291999
cmk,0.132357339
PA5423,0.132740285
PA2535,0.13287742
efhP,0.132929551
pqqC,0.133248326
PA2766,0.133273655
ig_125,0.133561998
PA4015,0.133785589
vgrG2a,0.134109235
glmM,0.134151155
tse3,0.134222065
PA3214,0.134842206
lolA,0.135805191
atpA,0.13611731
mraY,0.136571644
lptF,0.136630525
PA4737,0.137392413
PA2993,0.137527322
minE,0.137897147
fabD,0.137928336
PA4320,0.138029965
bswR,0.138062769
chpA,0.138348741
tse5,0.13839574
PA4671,0.138423471
pslL,0.138667517
PA2291,0.138986293
PA1360,0.139412525
PA0833,0.139547279
cycH,0.139623844
PA3169,0.139869218
PA2213,0.140261396
mapZ,0.140346959
PA4629,0.14035111
alpD,0.140413576
sdhB,0.140898948
PA3309,0.141030951
PA4736,0.141217724
fpvD,0.141855276
PA2754,0.142355328
PA4323,0.142492828
ansA,0.142811603
clpA,0.143130379
rpoA,0.143220784
rpsH,0.143524714
pitA,0.144236078
gntK,0.144236766
PA4936,0.144724259
bacA,0.14489534
pvdL,0.145043035
PA0039,0.145244417
PA4106,0.145361811
ssb,0.145382351
PA3950,0.145933228
muxB,0.145999362
ftnA,0.146127432
nuoF,0.146318138
cobU,0.146636914
rplP,0.146691116
PA1579,0.147212344
rplE,0.149166872
PA4451,0.149650451
gltD,0.149824673
PA4793,0.149964093
PA3203,0.150139703
vgrG4a,0.150462225
rph,0.15086791
rmlC,0.151099777
PA3123,0.151344444
wspE,0.151737329
alr,0.151764554
rlpA,0.152020697
PA2166,0.15237488
pyrF,0.152540076
PA4421,0.153352807
glk,0.153963982
PA3054,0.15396876
PA0267,0.154139641
cupA4,0.154287536
tolR,0.154788788
PA2755a,0.154925088
rplF,0.154945527
PA3990,0.155199
rubA1,0.155247217
PA4321,0.155562639
PA5183,0.155569119
PA4441,0.15604447
pscE,0.156518967
groEL,0.156718445
PA4154,0.156839953
capB,0.157064719
PA0490,0.157321305
gapN,0.157436477
PA3157,0.157794071
PA2826,0.158677029
PA1828,0.158713046
PA2879,0.158746986
PA3797,0.159069174
nuoI,0.15938795
lasI,0.159481114
gntR,0.159927837
rpsJ,0.160358318
arnA,0.16098183
PA3015,0.161086465
nppA2,0.161300606
tli5b3,0.161619382
PA5335,0.161668637
PA0310,0.161822515
nrtR,0.162120257
PA3338,0.16234322
PA1483a,0.162575709
warB,0.162833171
qslA,0.163677986
PA4282,0.163850813
PA0499,0.164169589
PA2691,0.164331166
oprQ,0.164807141
PA2883,0.165130414
PA4789,0.165204121
PA0697,0.165444692
PA2581,0.165590105
PA5524,0.165820531
PA3779,0.165967188
ohrR,0.166026458
ftsK,0.166253669
pauB1,0.166364371
PA2630,0.166666667
mfd,0.166983367
PA2160,0.167038572
PA2726,0.167214574
rne,0.167507882
PA0419,0.167874857
ppiD,0.168131368
ftsL,0.168299855
nuoH,0.168313675
PA3740,0.168637924
PA2297,0.168951227
rpsG,0.169946257
accC,0.170154385
carB,0.170545107
fleS,0.171902153
pqsC,0.172138986
PA4576,0.172457762
PA1611,0.172776538
ligD,0.17341409
PA0698,0.174370418
PA4583,0.174833502
flgM,0.175038687
PA2154,0.175326745
prfC,0.175327121
PA2180,0.175645521
alpC,0.175797606
purK,0.176142872
tsi4,0.176363519
PA4738,0.176914833
PA1909,0.176920625
PA2200,0.177558177
rpmC,0.177882614
pauB3,0.177907347
ig_520,0.178492297
PA3492,0.178514504
PA3817,0.178631995
PA0249,0.178816107
fprA,0.178904005
algA,0.179152056
ohr,0.179312504
PA3213,0.179400614
rpoZ,0.1797485
PA2747,0.180015863
PA1428,0.18039982
PA3188,0.180616982
rplX,0.180633998
PA3460,0.180706522
PA0879,0.181064712
PA0462,0.181631359
PA5438,0.181675861
parC,0.181702263
PA2162,0.182021039
PA3712,0.182060292
ftsH,0.182579345
erdR,0.18261915
zur,0.182720337
mucA,0.182880198
oprF,0.1830485
mexR,0.183080452
PA1441,0.183080601
PA2032,0.183237
metH,0.183296143
muxA,0.184316327
atpE,0.184571246
nppB,0.184890022
tsi3,0.185478391
crcZ,0.185527574
prpB,0.185648059
purB,0.186002802
PA5406,0.186570011
cdhA,0.186802678
PA3370,0.186995341
nrdJb,0.18744023
ig_354,0.187467181
PA0460,0.187536477
oprC,0.188077781
gacA,0.188230361
fabI,0.188396557
PA0929,0.18843878
fdx2,0.18844172
PA1291,0.188445777
PA2609,0.188715333
PA5523,0.188725837
PA3201,0.188927601
PA2156,0.189352885
pbpA,0.189909731
PA5329,0.190385349
PA1296,0.19062615
prc,0.190946764
pyrG,0.191033455
PA0858,0.191231855
pgi,0.19126554
carO,0.19149643
PA4830,0.191546006
algU,0.191796838
PA0308,0.191911484
PA3318,0.191958794
sdhC,0.193290847
PA1606,0.193819153
PA2460,0.193970207
PA3046,0.193994799
PA2963,0.194746787
cbrA,0.195090851
PA2325,0.195409627
PA4352,0.195759866
PA2823,0.195807504
pqsE,0.196047179
ospR,0.196555583
PA3229,0.196871423
PA1835,0.197014562
fruK,0.197322282
tle1,0.19760346
PA0100,0.197916667
PA2155,0.197959834
pvcC,0.19827861
accD,0.199006079
proS,0.199471864
PA1451,0.200023596
PA4360,0.200074035
PA1377,0.200090462
rluD,0.20013359
PA5183a,0.200828817
lipB,0.201458437
hasD,0.202103921
motB,0.202165052
PA0856,0.202401371
pslJ,0.202422697
PA0201,0.203324322
PA1209,0.203650751
mexX,0.204108995
pilZ,0.204194531
pilB,0.204335352
fimS,0.204624929
PA2136,0.204972904
PA1274,0.20529168
PA1066,0.205929232
PA0596,0.205953099
PA3017,0.206507735
rmf,0.206885559
wbpD,0.207274249
thiI,0.20745646
PA4535,0.207731936
nfxB,0.208143083
PA5126,0.208370714
PA2062,0.208479439
pslD,0.208481268
PA3675,0.208875056
PA2707,0.209106221
PA4377,0.209195531
PA0069,0.209770384
PA0468,0.210070316
hemA,0.210473428
PA0661,0.210988172
