#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
pae03010	Ribosome	19	56	0.95	1.66	1.22e-09	208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	rpsU,rplT,rpmI,rpmF,rpsB,rplS,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB
pae00190	Oxidative phosphorylation	14	57	0.81	1.0	1.11e-05	208964.PA0112,208964.PA0113,208964.PA1555,208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA5554,208964.PA5555	PA0112,cyoE1,ccoP2,ccoO2,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,atpD,atpG
pae01110	Biosynthesis of secondary metabolites	29	394	0.29	0.32	0.0256	208964.PA0112,208964.PA0113,208964.PA0510,208964.PA0511,208964.PA0997,208964.PA0999,208964.PA1000,208964.PA1337,208964.PA1586,208964.PA1587,208964.PA1806,208964.PA1901,208964.PA2536,208964.PA3108,208964.PA3334,208964.PA3415,208964.PA3417,208964.PA3418,208964.PA3792,208964.PA4007,208964.PA4217,208964.PA4236,208964.PA4402,208964.PA4470,208964.PA4670,208964.PA4748,208964.PA5171,208964.PA5172,208964.PA5427	PA0112,cyoE1,PA0510,nirJ,pqsB,pqsD,pqsE,ansB,sucB,lpdG,fabI,phzC2,PA2536,purF,PA3334,PA3415,pdhA,ldh,leuA,proA,phzS,katA,argJ,fumC1,prs,tpiA,arcA,arcB,adhA
