#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
STRING clusters	CL:2787	Oxidative phosphorylation, and Peptidase M16, N-terminal	14	64	0.76	0.91	2.97e-05	208964.PA0111,208964.PA0112,208964.PA0113,208964.PA1550,208964.PA1555,208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	PA0111,PA0112,cyoE1,PA1550,ccoP2,ccoO2,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
STRING clusters	CL:2788	Oxidative phosphorylation, and Peptidase M16, N-terminal	11	39	0.87	0.92	5.77e-05	208964.PA0111,208964.PA0112,208964.PA0113,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	PA0111,PA0112,cyoE1,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
STRING clusters	CL:2793	Quinone	7	11	1.23	1.03	7.81e-05	208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
STRING clusters	CL:2785	Mixed, incl. Oxidative phosphorylation, and Cytochrome c-type biogenesis	16	94	0.65	0.79	8.02e-05	208964.PA0111,208964.PA0112,208964.PA0113,208964.PA1058,208964.PA1550,208964.PA1555,208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA5491	PA0111,PA0112,cyoE1,PA1058,PA1550,ccoP2,ccoO2,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,PA5491
STRING clusters	CL:2537	Mixed, incl. Nitrogen metabolism, and Molybdenum cofactor biosynthesis	18	124	0.58	0.72	0.00013	208964.PA0200,208964.PA0510,208964.PA0511,208964.PA1746,208964.PA1789,208964.PA2119,208964.PA2501,208964.PA2753,208964.PA3309,208964.PA3572,208964.PA4352,208964.PA4577,208964.PA4587,208964.PA4610,208964.PA4611,208964.PA4922,208964.PA5427,208964.PA5475	PA0200,PA0510,nirJ,PA1746,PA1789,PA2119,PA2501,PA2753,PA3309,PA3572,PA4352,PA4577,ccpR,PA4610,PA4611,azu,adhA,PA5475
STRING clusters	CL:2704	Mixed, incl. UspA, and Macro domain	7	13	1.15	0.94	0.00016	208964.PA0200,208964.PA1746,208964.PA1789,208964.PA3309,208964.PA3572,208964.PA4352,208964.PA5475	PA0200,PA1746,PA1789,PA3309,PA3572,PA4352,PA5475
STRING clusters	CL:2790	Quinone, and Peptidase M16, N-terminal	8	22	0.98	0.83	0.00032	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
STRING clusters	CL:150	Small ribosomal subunit	5	7	1.28	0.74	0.0014	208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4432,208964.PA4935	rpsB,rplS,rpsP,rpsI,rpsF
STRING clusters	CL:10402	Mixed, incl. Tetratricopeptide repeat, and TssC1, C-terminal	5	10	1.12	0.6	0.0048	208964.PA0083,208964.PA0086,208964.PA0087,208964.PA0088,208964.PA0090	PA0083,PA0086,PA0087,PA0088,clpV1
STRING clusters	CL:10399	Biofilm formation - Pseudomonas aeruginosa, and Tetratricopeptide repeat	6	18	0.94	0.56	0.0058	208964.PA0079,208964.PA0083,208964.PA0086,208964.PA0087,208964.PA0088,208964.PA0090	PA0079,PA0083,PA0086,PA0087,PA0088,clpV1
